"","state","county","tract","Total_2000","White_2000","Black_2000","Indian_2000","Other_Race_2000","Asian_or_Pacific_Islander_2000"
"131","04","013","082014",3695,2680,168,22,654,171
"132","04","013","082015",0,0,0,0,0,0
"133","04","013","082100",4963,2628,63,10,2221,41
"134","04","013","082201",4190,2599,50,65,1447,29
"135","04","013","082202",3217,1240,20,43,1914,0
"136","04","013","092304",7399,5381,383,156,1315,164
"137","04","013","092305",4185,3557,159,10,431,28
"138","04","013","092306",6294,5500,144,41,338,271
"139","04","013","092307",5517,4459,294,102,525,137
"140","04","013","092308",6957,5709,226,129,648,245
"141","04","013","092309",5391,4646,132,23,391,199
"142","04","013","092310",3157,2017,324,73,680,63
"143","04","013","092400",7401,5709,392,84,1076,140
"144","04","013","092500",4258,3103,134,151,794,76
"145","04","013","092600",3608,2517,97,46,923,25
"146","04","013","092703",7158,4705,391,27,1867,168
"147","04","013","092704",136,69,0,0,67,0
"148","04","013","092705",2462,1661,104,110,587,0
"149","04","013","092706",6344,4848,308,92,977,119
"150","04","013","092707",6339,5547,112,28,557,95
"151","04","013","092708",410,373,0,18,0,19
"152","04","013","092709",3984,3113,147,64,612,48
"153","04","013","092710",4287,3172,317,83,618,97
"154","04","013","092711",2234,1634,81,43,468,8
"155","04","013","092712",3616,2294,458,0,815,49
"156","04","013","092713",4458,2670,266,38,1224,260
"157","04","013","092714",5195,2781,511,91,1778,34
"158","04","013","092800",11253,5099,774,100,5265,15
"159","04","013","092900",3464,2109,75,97,1183,0
"160","04","013","093000",9614,6224,784,308,2129,169
"161","04","013","093101",4332,2625,485,0,1077,145
"162","04","013","093102",9821,5690,831,120,3120,60
"163","04","013","093104",3885,1997,455,219,1168,46
"164","04","013","103205",2903,2770,9,27,90,7
"165","04","013","103206",2761,2716,14,11,20,0
"166","04","013","103207",2649,2540,7,24,47,31
"167","04","013","103208",3563,3391,0,15,61,96
"168","04","013","103209",6193,5731,109,53,191,109
"169","04","013","103210",6493,5491,172,81,569,180
"170","04","013","103211",4877,4553,26,18,167,113
"171","04","013","103212",4942,4728,0,41,111,62
"172","04","013","103214",4439,4176,46,0,135,82
"173","04","013","103215",3177,2912,46,62,55,102
"174","04","013","103216",5532,5186,7,9,153,177
"175","04","013","103217",6818,6328,49,0,224,217
"176","04","013","103218",6313,5850,55,21,231,156
"177","04","013","103302",6993,5736,88,135,938,96
"178","04","013","103303",3679,3346,49,19,186,79
"179","04","013","103304",4529,3428,127,27,865,82
"180","04","013","103305",3632,2094,0,19,1488,31
"181","04","013","103306",3920,2683,200,46,972,19
"182","04","013","103400",5171,4617,120,52,359,23
"183","04","013","103501",3269,2745,79,0,357,88
"184","04","013","103502",6298,5722,103,34,325,114
"185","04","013","103604",3853,3229,10,147,316,151
"186","04","013","103605",6496,6054,72,37,119,214
"187","04","013","103606",4045,3554,54,80,258,99
"188","04","013","103607",4870,4293,50,46,209,272
"189","04","013","103608",2670,2142,34,43,330,121
"190","04","013","103609",5422,4462,277,191,343,149
"191","04","013","103611",4736,4408,36,12,62,218
"192","04","013","103612",4876,4450,87,28,118,193
"193","04","013","103614",3302,3025,15,0,204,58
"194","04","013","103615",5373,3555,231,203,1261,123
"195","04","013","103700",7665,6605,167,90,578,225
"196","04","013","103900",6050,5207,62,168,503,110
"197","04","013","104000",6134,5115,165,67,593,194
"198","04","013","104100",6678,5663,154,49,698,114
"199","04","013","104202",5360,4748,164,22,338,88
"200","04","013","104203",6433,5660,231,18,409,115
"201","04","013","104204",3506,3016,89,0,298,103
"202","04","013","104205",5009,3947,123,200,568,171
"203","04","013","104206",4289,3639,123,16,406,105
"204","04","013","104207",4130,3775,97,7,127,124
"205","04","013","104212",6446,5559,162,62,383,280
"206","04","013","104214",2286,1998,24,13,198,53
"207","04","013","104215",4769,4172,32,30,412,123
"208","04","013","104216",5204,4211,57,49,435,452
"209","04","013","104217",5457,4658,142,14,369,274
"210","04","013","104218",4096,3465,73,44,285,229
"211","04","013","104219",3147,2889,32,40,132,54
"212","04","013","104221",6200,5125,231,64,568,212
"213","04","013","104222",5917,5009,144,40,524,200
"214","04","013","104223",1923,1663,94,40,126,0
"215","04","013","104224",6437,5487,230,0,396,324
"216","04","013","104225",4148,3664,169,44,233,38
"217","04","013","104226",3688,3471,0,42,175,0
"218","04","013","104227",2449,2002,137,0,132,178
"219","04","013","104300",7441,6194,296,159,619,173
"220","04","013","104400",7043,5339,290,128,893,393
"221","04","013","104501",4603,2929,60,120,1061,433
"222","04","013","104502",5574,3010,152,186,1935,291
"223","04","013","104600",4169,3082,199,147,723,18
"224","04","013","104700",7723,6252,177,123,1104,67
"225","04","013","104801",3899,3544,9,17,234,95
"226","04","013","104802",6312,5875,80,80,160,117
"227","04","013","104900",4424,4104,79,0,191,50
"228","04","013","105001",8151,7677,80,30,209,155
"229","04","013","105002",2672,2575,8,0,24,65
"230","04","013","105101",4799,4562,34,0,108,95
"231","04","013","105102",4333,4073,14,17,109,120
"232","04","013","105103",3121,2956,0,0,61,104
"233","04","013","105200",6615,5197,159,208,903,148
"234","04","013","105300",5644,4669,76,10,818,71
"235","04","013","105400",3729,3391,24,84,202,28
"236","04","013","105500",7504,4988,495,438,1268,315
"237","04","013","105601",3613,2932,70,45,516,50
"238","04","013","105602",5755,4040,542,106,940,127
"239","04","013","105701",3432,2481,160,10,613,168
"240","04","013","105702",3888,2972,110,91,558,157
"241","04","013","105800",6281,5064,197,109,701,210
"242","04","013","105900",5371,4228,191,105,693,154
"243","04","013","106000",7592,5501,410,317,1288,76
"244","04","013","106100",5172,4544,186,70,293,79
"245","04","013","106200",3453,3362,4,11,65,11
"246","04","013","106300",5311,4535,245,69,395,67
"247","04","013","106400",2911,2575,53,83,126,74
"248","04","013","106500",6877,5968,328,93,394,94
"249","04","013","106600",3749,3451,70,36,106,86
"250","04","013","106700",6991,5344,406,373,693,175
"251","04","013","106800",8434,5046,728,446,2107,107
"252","04","013","106900",6407,4500,231,62,1140,474
"253","04","013","107000",6923,5252,223,95,1036,317
"254","04","013","107101",4214,2745,250,73,1126,20
"255","04","013","107102",5289,3129,536,199,1235,190
"256","04","013","107201",4703,2856,303,189,1188,167
"257","04","013","107202",4720,2774,143,25,1551,227
"258","04","013","107300",6298,3670,303,165,1925,235
"259","04","013","107400",7028,4244,520,522,1523,219
"260","04","013","107500",3651,3299,118,70,141,23
"261","04","013","107600",6122,4935,241,281,600,65
"262","04","013","107700",3683,3157,58,200,233,35
"263","04","013","107800",2222,2075,27,6,90,24
"264","04","013","107900",3950,3656,30,8,120,136
"265","04","013","108000",3547,3458,0,38,27,24
"266","04","013","108100",1871,1758,4,12,48,49
"267","04","013","108200",3357,3089,19,61,126,62
"268","04","013","108300",6445,5881,83,52,326,103
"269","04","013","108400",5351,4163,187,213,765,23
"270","04","013","108500",5514,4229,167,159,770,189
"271","04","013","108601",3646,1746,156,287,1447,10
"272","04","013","108602",4702,2688,277,479,1234,24
"273","04","013","108700",285,259,14,4,8,0
"274","04","013","108801",1634,1326,83,0,208,17
"275","04","013","108802",3180,2307,97,129,545,102
"276","04","013","108901",3140,2003,140,169,808,20
"277","04","013","108902",5218,3486,316,330,866,220
"278","04","013","109000",15785,7220,1071,1411,5752,331
"279","04","013","109100",9085,4465,351,107,3804,358
"280","04","013","109200",4724,2107,300,125,2065,127
"281","04","013","109300",4707,2830,134,6,1646,91
"282","04","013","109400",7814,4770,375,238,2297,134
"283","04","013","109500",4496,2987,310,154,962,83
"284","04","013","109601",5144,2717,521,10,1872,24
"285","04","013","109602",6050,3324,734,277,1704,11
"286","04","013","109603",4558,2407,534,0,1551,66
"287","04","013","109604",4047,2653,235,39,1120,0
"288","04","013","109701",6918,3813,745,225,2081,54
"289","04","013","109702",4989,2728,253,102,1843,63
"290","04","013","109703",2609,1158,196,52,1203,0
"291","04","013","109704",2349,1597,48,0,704,0
"292","04","013","109705",1722,973,112,0,555,82
"293","04","013","109801",3880,1892,264,68,1616,40
"294","04","013","109802",4543,2339,233,82,1874,15
"295","04","013","109900",6434,4157,324,43,1750,160
"296","04","013","110001",4329,1898,276,0,2063,92
"297","04","013","110002",4494,1964,151,112,2255,12
"298","04","013","110100",7571,3204,228,124,3794,221
"299","04","013","110200",490,215,7,0,268,0
"300","04","013","110300",8170,4818,500,315,2139,398
"301","04","013","110400",6019,4003,311,213,1307,185
"302","04","013","110500",4726,3422,335,189,598,182
"303","04","013","110600",5728,3750,316,404,1165,93
"304","04","013","110701",2415,1256,157,155,776,71
"305","04","013","110702",3824,2704,160,107,835,18
"306","04","013","110800",8896,5440,370,442,2513,131
"307","04","013","110900",7940,5554,372,316,1658,40
"308","04","013","111000",4717,3873,201,77,433,133
"309","04","013","111100",4528,3979,115,51,280,103
"310","04","013","111201",6145,4369,318,155,1256,47
"311","04","013","111202",1701,782,59,79,781,0
"312","04","013","111203",1017,632,153,18,214,0
"313","04","013","111204",2020,1354,138,161,251,116
"314","04","013","111300",6386,4060,391,303,1479,153
"315","04","013","111401",4498,2723,177,195,1403,0
"316","04","013","111402",4365,2752,348,37,1207,21
"317","04","013","111501",2465,1733,0,12,710,10
"318","04","013","111502",7127,4389,234,169,2271,64
"319","04","013","111601",3410,1966,44,55,1216,129
"320","04","013","111602",6819,4512,130,193,1943,41
"321","04","013","111700",6801,4421,421,77,1823,59
"322","04","013","111800",3551,3027,169,52,196,107
"323","04","013","111900",2599,2277,22,8,258,34
"324","04","013","112000",1869,1321,67,41,401,39
"325","04","013","112100",4204,2396,6,53,1693,56
"326","04","013","112201",4734,2600,29,81,1979,45
"327","04","013","112202",4617,2837,147,11,1527,95
"328","04","013","112301",5961,2016,213,174,3531,27
"329","04","013","112302",7744,2591,869,120,4063,101
"330","04","013","112401",5729,2242,312,139,2837,199
"331","04","013","112402",5210,2252,339,73,2546,0
"332","04","013","112502",5325,2284,357,47,2516,121
"333","04","013","112503",7892,3763,430,39,3487,173
"334","04","013","112504",3647,1641,296,88,1592,30
"335","04","013","112505",6867,3670,367,151,2640,39
"336","04","013","112506",5281,2776,291,93,1987,134
"337","04","013","112507",2680,1069,124,82,1405,0
"338","04","013","112508",2093,1269,96,118,548,62
"339","04","013","112601",2994,1316,114,57,1457,50
"340","04","013","112602",7382,3773,67,144,3393,5
"341","04","013","112700",7826,2499,137,28,5106,56
"342","04","013","112800",1032,768,6,0,258,0
"343","04","013","112900",6163,4152,317,194,1461,39
"344","04","013","113000",1705,1382,107,131,78,7
"345","04","013","113100",2378,1610,220,162,341,45
"346","04","013","113201",3458,2212,133,63,1045,5
"347","04","013","113202",3176,1789,80,122,1157,28
"348","04","013","113203",3304,1656,52,166,1418,12
"349","04","013","113300",6491,4205,465,173,1619,29
"350","04","013","113400",1064,731,134,10,183,6
"351","04","013","113500",8033,4154,467,129,3251,32
"352","04","013","113601",2698,1349,97,68,1157,27
"353","04","013","113602",3241,1556,95,47,1516,27
"354","04","013","113700",6952,3215,744,326,2634,33
"355","04","013","113800",2404,1177,77,93,1051,6
"356","04","013","113900",1386,741,215,19,411,0
"357","04","013","114000",2534,1447,398,87,564,38
"358","04","013","114100",1909,946,369,28,559,7
"359","04","013","114200",2019,782,202,194,827,14
"360","04","013","114301",1341,609,144,119,469,0
"361","04","013","114302",2889,1305,398,105,1004,77
"362","04","013","114401",2129,732,288,68,1041,0
"363","04","013","114402",2404,1069,153,64,1033,85
"364","04","013","114500",6203,2294,231,73,3539,66
"365","04","013","114600",2109,728,52,18,1303,8
"366","04","013","114701",917,240,27,0,650,0
"367","04","013","114702",819,211,56,39,513,0
"368","04","013","114703",6911,3347,586,289,2662,27
"369","04","013","114800",3216,1097,835,138,1130,16
"370","04","013","114900",2993,1836,283,55,726,93
"371","04","013","115000",3142,886,57,128,2071,0
"372","04","013","115100",187,103,0,0,76,8
"373","04","013","115200",3017,615,1015,74,1307,6
"374","04","013","115300",2490,993,524,28,941,4
"375","04","013","115400",2879,1627,8,8,1236,0
"376","04","013","115500",4051,2252,175,125,1472,27
"377","04","013","115600",2600,1021,1034,64,460,21
"378","04","013","115700",5194,3311,243,104,1497,39
"379","04","013","115801",4629,2726,579,47,1272,5
"380","04","013","115802",2841,1782,51,26,948,34
"381","04","013","115900",4118,2136,792,50,1140,0
"382","04","013","116000",4711,703,2571,124,1313,0
"383","04","013","116100",3987,920,662,14,2391,0
"384","04","013","116202",5256,2195,758,22,1965,316
"385","04","013","116203",1981,1249,303,47,345,37
"386","04","013","116204",3839,1419,613,116,1657,34
"387","04","013","116205",4270,2696,487,76,930,81
"388","04","013","116300",6357,1607,2463,62,2181,44
"389","04","013","116400",4711,1932,551,23,2124,81
"390","04","013","116500",4786,2571,549,66,1534,66
"391","04","013","116601",5788,4078,190,90,1362,68
"392","04","013","116602",3369,1461,403,49,1405,51
"393","04","013","116702",7436,3005,1048,90,3199,94
"394","04","013","116703",3063,1024,594,92,1269,84
"395","04","013","116704",5500,2792,1202,184,1183,139
"396","04","013","116705",3235,2162,157,62,807,47
"397","04","013","116707",3069,2853,34,67,99,16
"398","04","013","116708",5406,5035,68,19,211,73
"399","04","013","116709",2343,1872,159,0,167,145
"400","04","013","116710",5041,4463,134,20,227,197
"401","04","013","116711",1986,1625,157,15,123,66
"402","04","013","116712",5250,4372,243,106,267,262
"403","04","013","116713",6638,5653,266,8,317,394
"404","04","013","116714",3768,3230,173,73,273,19
"405","04","013","116715",2326,2068,80,0,118,60
"406","04","013","116717",3485,2862,135,134,278,76
"407","04","013","116718",1788,1405,90,21,167,105
