"","state","county","tract","Total_2010","White_2010","Black_2010","Indian_2010","Other_Race_2010","Asian_or_Pacific_Islander_2010"
"1","04","013","010101",5073,4869,44,12,80,68
"2","04","013","010102",4640,4367,21,6,133,113
"3","04","013","030401",4283,4100,30,11,77,65
"4","04","013","030402",3895,3627,27,18,193,30
"5","04","013","040502",4861,4343,12,85,396,25
"6","04","013","040506",5209,5096,40,12,44,17
"7","04","013","040507",6097,5967,48,5,38,39
"8","04","013","040512",1690,1656,15,3,3,13
"9","04","013","040513",3031,2977,24,2,13,15
"10","04","013","040514",3104,3044,16,5,15,24
"11","04","013","040515",4792,3985,18,70,693,26
"12","04","013","040516",2856,2648,54,14,109,31
"13","04","013","040517",7621,6017,145,74,1295,90
"14","04","013","040518",6679,5884,123,57,551,64
"15","04","013","040519",3595,3273,77,10,130,105
"16","04","013","040520",4142,3564,129,9,263,177
"17","04","013","040521",4560,3987,95,25,347,106
"18","04","013","040522",4181,4064,40,6,28,43
"19","04","013","040523",3300,3133,60,14,49,44
"20","04","013","040524",1474,1394,37,4,17,22
"21","04","013","040525",3046,2944,50,3,11,38
"22","04","013","040526",2365,2291,28,5,20,21
"23","04","013","040527",4184,3725,122,19,235,83
"24","04","013","040528",6212,6066,59,16,21,50
"25","04","013","040529",3222,3133,34,7,10,38
"26","04","013","040530",3559,2991,180,20,294,74
"27","04","013","040531",3395,3043,136,16,162,38
"28","04","013","050603",4536,3210,85,73,1151,17
"29","04","013","050604",3727,2651,39,43,984,10
"30","04","013","050605",5828,4384,318,74,909,143
"31","04","013","050606",6799,5485,197,48,858,211
"32","04","013","050607",6505,4184,475,52,1639,155
"33","04","013","050608",7163,4628,567,115,1699,154
"34","04","013","050609",4874,3436,291,79,958,110
"35","04","013","050610",7915,5320,401,83,1967,144
"36","04","013","050611",4477,2853,316,76,1144,88
"37","04","013","050701",5092,3396,287,84,1282,43
"38","04","013","050702",5280,3164,303,106,1666,41
"39","04","013","060801",5832,3200,264,83,2239,46
