"","STATE10","COUNTY10","TRACT10","GEOID10"
"186",4,13,92801,4013092801
"187",4,13,92802,4013092802
"188",4,13,93001,4013093001
"189",4,13,93002,4013093002
"190",4,13,93105,4013093105
"191",4,13,93106,4013093106
"192",4,13,93200,4013093200
"193",4,13,103219,4013103219
"194",4,13,103220,4013103220
"195",4,13,103701,4013103701
"196",4,13,103702,4013103702
"197",4,13,104301,4013104301
"198",4,13,104302,4013104302
"199",4,13,104401,4013104401
"200",4,13,104402,4013104402
"201",4,13,104701,4013104701
"202",4,13,104702,4013104702
"203",4,13,105003,4013105003
"204",4,13,105004,4013105004
"205",4,13,105501,4013105501
"206",4,13,105502,4013105502
"207",4,13,105503,4013105503
"208",4,13,106001,4013106001
"209",4,13,106002,4013106002
"210",4,13,106003,4013106003
"211",4,13,106501,4013106501
"212",4,13,106502,4013106502
"213",4,13,106701,4013106701
"214",4,13,106702,4013106702
"215",4,13,106703,4013106703
"216",4,13,106801,4013106801
"217",4,13,106802,4013106802
"218",4,13,107601,4013107601
"219",4,13,107602,4013107602
"220",4,13,108301,4013108301
"221",4,13,108302,4013108302
"222",4,13,108501,4013108501
"223",4,13,108502,4013108502
"224",4,13,109001,4013109001
"225",4,13,109002,4013109002
"226",4,13,109003,4013109003
"227",4,13,109101,4013109101
"228",4,13,109102,4013109102
"229",4,13,110501,4013110501
"230",4,13,110502,4013110502
"231",4,13,110801,4013110801
"232",4,13,110802,4013110802
"233",4,13,110901,4013110901
"234",4,13,110902,4013110902
"235",4,13,112509,4013112509
"236",4,13,112510,4013112510
"237",4,13,112511,4013112511
"238",4,13,112512,4013112512
"239",4,13,112513,4013112513
"240",4,13,112514,4013112514
"241",4,13,113501,4013113501
"242",4,13,113502,4013113502
"243",4,13,113801,4013113801
"244",4,13,113802,4013113802
"245",4,13,116603,4013116603
"246",4,13,116604,4013116604
"247",4,13,116605,4013116605
"248",4,13,116606,4013116606
"249",4,13,116607,4013116607
"250",4,13,116608,4013116608
"251",4,13,116609,4013116609
"252",4,13,116610,4013116610
"253",4,13,116611,4013116611
"254",4,13,116612,4013116612
"255",4,13,116613,4013116613
"256",4,13,116730,4013116730
"257",4,13,116731,4013116731
"258",4,13,116732,4013116732
"259",4,13,116733,4013116733
"260",4,13,116800,4013116800
"261",4,13,116900,4013116900
"262",4,13,117000,4013117000
"263",4,13,117100,4013117100
"264",4,13,117200,4013117200
"265",4,13,117300,4013117300
"266",4,13,216830,4013216830
"267",4,13,216831,4013216831
"268",4,13,216832,4013216832
"269",4,13,216833,4013216833
"270",4,13,216834,4013216834
"271",4,13,216835,4013216835
"272",4,13,216836,4013216836
"273",4,13,216837,4013216837
"274",4,13,216838,4013216838
"275",4,13,216839,4013216839
"276",4,13,216840,4013216840
"277",4,13,216841,4013216841
"278",4,13,216842,4013216842
"279",4,13,216843,4013216843
"280",4,13,216844,4013216844
"281",4,13,216845,4013216845
"282",4,13,216846,4013216846
"283",4,13,216847,4013216847
"284",4,13,216848,4013216848
"285",4,13,216849,4013216849
"286",4,13,216850,4013216850
"287",4,13,216851,4013216851
"288",4,13,216852,4013216852
"289",4,13,216853,4013216853
"290",4,13,217203,4013217203
"291",4,13,217204,4013217204
"292",4,13,217501,4013217501
"293",4,13,217502,4013217502
"294",4,13,319103,4013319103
"295",4,13,319104,4013319104
"296",4,13,319201,4013319201
"297",4,13,319202,4013319202
"298",4,13,319705,4013319705
"299",4,13,319706,4013319706
"300",4,13,320100,4013320100
"301",4,13,420107,4013420107
"302",4,13,420108,4013420108
"303",4,13,420109,4013420109
"304",4,13,420110,4013420110
"305",4,13,420111,4013420111
"306",4,13,420112,4013420112
"307",4,13,420113,4013420113
"308",4,13,420114,4013420114
"309",4,13,420115,4013420115
"310",4,13,420116,4013420116
"311",4,13,420213,4013420213
"312",4,13,420214,4013420214
"313",4,13,420215,4013420215
"314",4,13,420216,4013420216
"315",4,13,420401,4013420401
"316",4,13,420402,4013420402
"317",4,13,420503,4013420503
"318",4,13,420504,4013420504
"319",4,13,420707,4013420707
"320",4,13,420708,4013420708
"321",4,13,420709,4013420709
"322",4,13,420710,4013420710
"323",4,13,421001,4013421001
"324",4,13,421002,4013421002
"325",4,13,421303,4013421303
"326",4,13,421304,4013421304
"327",4,13,421701,4013421701
"328",4,13,421702,4013421702
"329",4,13,422221,4013422221
"330",4,13,422222,4013422222
"331",4,13,422620,4013422620
"332",4,13,422621,4013422621
"333",4,13,422622,4013422622
"334",4,13,422623,4013422623
"335",4,13,422624,4013422624
"336",4,13,422625,4013422625
"337",4,13,422626,4013422626
"338",4,13,422627,4013422627
"339",4,13,422628,4013422628
"340",4,13,422629,4013422629
"341",4,13,422630,4013422630
"342",4,13,422631,4013422631
"343",4,13,422632,4013422632
"344",4,13,422633,4013422633
"345",4,13,422634,4013422634
"346",4,13,422635,4013422635
"347",4,13,422636,4013422636
"348",4,13,422637,4013422637
"349",4,13,422638,4013422638
"350",4,13,422639,4013422639
"351",4,13,422640,4013422640
"352",4,13,422641,4013422641
"353",4,13,422642,4013422642
"354",4,13,422643,4013422643
"355",4,13,422644,4013422644
"356",4,13,422646,4013422646
"357",4,13,522903,4013522903
"358",4,13,522904,4013522904
"359",4,13,610000,4013610000
"360",4,13,610100,4013610100
"361",4,13,610200,4013610200
"362",4,13,610300,4013610300
"363",4,13,610400,4013610400
"364",4,13,610500,4013610500
"365",4,13,610600,4013610600
"366",4,13,610700,4013610700
"367",4,13,610800,4013610800
"368",4,13,610900,4013610900
"369",4,13,611000,4013611000
"370",4,13,611100,4013611100
"371",4,13,611200,4013611200
"372",4,13,611300,4013611300
"373",4,13,611400,4013611400
"374",4,13,611500,4013611500
"375",4,13,611600,4013611600
"376",4,13,611700,4013611700
"377",4,13,611800,4013611800
"378",4,13,611900,4013611900
"379",4,13,612000,4013612000
"380",4,13,612200,4013612200
"381",4,13,612300,4013612300
"382",4,13,612400,4013612400
"383",4,13,612500,4013612500
"384",4,13,612600,4013612600
"385",4,13,612700,4013612700
"386",4,13,612800,4013612800
"387",4,13,612900,4013612900
"388",4,13,613000,4013613000
"389",4,13,613100,4013613100
"390",4,13,613200,4013613200
"391",4,13,613300,4013613300
"392",4,13,613400,4013613400
"393",4,13,613500,4013613500
"394",4,13,613600,4013613600
"395",4,13,613700,4013613700
"396",4,13,613800,4013613800
"397",4,13,613900,4013613900
"398",4,13,614000,4013614000
"399",4,13,614100,4013614100
"400",4,13,614200,4013614200
"401",4,13,614300,4013614300
"402",4,13,614400,4013614400
"403",4,13,614500,4013614500
"404",4,13,614600,4013614600
"405",4,13,614700,4013614700
"406",4,13,614800,4013614800
"407",4,13,614900,4013614900
"408",4,13,615000,4013615000
"409",4,13,615100,4013615100
"410",4,13,615200,4013615200
"411",4,13,615300,4013615300
"412",4,13,615400,4013615400
"413",4,13,615500,4013615500
"414",4,13,615600,4013615600
"415",4,13,615700,4013615700
"416",4,13,615800,4013615800
"417",4,13,615900,4013615900
"418",4,13,616000,4013616000
"419",4,13,616100,4013616100
"420",4,13,616200,4013616200
"421",4,13,616300,4013616300
"422",4,13,616400,4013616400
"423",4,13,616500,4013616500
"424",4,13,616600,4013616600
"425",4,13,616700,4013616700
"426",4,13,616800,4013616800
"427",4,13,616900,4013616900
"428",4,13,617000,4013617000
"429",4,13,617100,4013617100
"430",4,13,617200,4013617200
"431",4,13,617300,4013617300
"432",4,13,617400,4013617400
