"","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"31",4,3,300,4003000300,12520,6495,"P",2388573150,2387391567,4,3,303,4003000303,3457,1676,"W",1671006337,1670158230,1671006337,1670158230,69.96,69.96,100,100,3457,27.61,100,1676,25.8,100
"32",4,3,300,4003000300,12520,6495,"P",2388573150,2387391567,4,19,4061,4019004061,4821,2020,"P",873773272,873773272,864,864,0,0,0,0,0,0,0,0,0,0
"33",4,3,400,4003000400,2206,1391,"W",1009996263,1009737102,4,3,400,4003000400,2206,1391,"W",1009996263,1009737102,1009996263,1009737102,100,100,100,100,2206,100,100,1391,100,100
"34",4,3,500,4003000500,5651,2079,"W",4285392824,4279784502,4,3,500,4003000500,5651,2079,"W",4285392824,4279784502,4285392824,4279784502,100,100,100,100,5651,100,100,2079,100,100
"35",4,3,600,4003000600,2984,1205,"W",608964737,608785541,4,3,600,4003000600,2984,1205,"W",608964737,608785541,608964737,608785541,100,100,100,100,2984,100,100,1205,100,100
"36",4,3,700,4003000700,5196,1619,"W",33690804,33689598,4,3,700,4003000700,5196,1619,"W",33690804,33689598,33690804,33689598,100,100,100,100,5196,100,100,1619,100,100
"37",4,3,800,4003000800,5160,1972,"P",19093838,19077253,4,3,800,4003000800,5160,1972,"W",19093592,19077007,19093592,19077007,100,100,100,100,5160,100,100,1972,100,100
"38",4,3,800,4003000800,5160,1972,"P",19093838,19077253,4,3,902,4003000902,2846,1165,"P",2394109,2394109,246,246,0,0,0.01,0.01,0,0,0,0,0,0
"39",4,3,900,4003000900,6432,2592,"P",4295739,4295739,4,3,901,4003000901,3586,1427,"W",1901876,1901876,1901876,1901876,44.27,44.27,100,100,3586,55.75,100,1427,55.05,100
"40",4,3,900,4003000900,6432,2592,"P",4295739,4295739,4,3,902,4003000902,2846,1165,"P",2394109,2394109,2393863,2393863,55.73,55.73,99.99,99.99,2846,44.25,100,1165,44.95,100
"41",4,3,1000,4003001000,1656,1225,"W",409829558,409755200,4,3,1000,4003001000,1656,1225,"W",409829558,409755200,409829558,409755200,100,100,100,100,1656,100,100,1225,100,100
"42",4,3,1100,4003001100,3599,1884,"W",149031380,148930241,4,3,1100,4003001100,3599,1884,"W",149031380,148930241,149031380,148930241,100,100,100,100,3599,100,100,1884,100,100
"43",4,3,1200,4003001200,3036,1416,"W",331956863,329297808,4,3,1200,4003001200,3036,1416,"W",331956863,329297808,331956863,329297808,100,100,100,100,3036,100,100,1416,100,100
"44",4,3,1300,4003001300,5613,2606,"W",392216974,392051500,4,3,1300,4003001300,5613,2606,"W",392216974,392051500,392216974,392051500,100,100,100,100,5613,100,100,2606,100,100
"45",4,3,1400,4003001400,5610,951,"P",329496625,329344003,4,3,1401,4003001401,4359,611,"W",192500609,192381577,192500609,192381577,58.42,58.41,100,100,4359,77.7,100,611,64.25,100
"46",4,3,1400,4003001400,5610,951,"P",329496625,329344003,4,3,1402,4003001402,1251,340,"W",136996016,136962426,136996016,136962426,41.58,41.59,100,100,1251,22.3,100,340,35.75,100
"47",4,3,1500,4003001500,7448,3738,"P",5160094,5160094,4,3,1501,4003001501,3636,1918,"W",2449101,2449101,2449101,2449101,47.46,47.46,100,100,3636,48.82,100,1918,51.31,100
"48",4,3,1500,4003001500,7448,3738,"P",5160094,5160094,4,3,1502,4003001502,3812,1820,"W",2710993,2710993,2710993,2710993,52.54,52.54,100,100,3812,51.18,100,1820,48.69,100
"49",4,3,1600,4003001600,8266,3908,"P",7661980,7661980,4,3,1601,4003001601,4825,2152,"W",3265426,3265426,3265426,3265426,42.62,42.62,100,100,4825,58.37,100,2152,55.07,100
"50",4,3,1600,4003001600,8266,3908,"P",7661980,7661980,4,3,1602,4003001602,3441,1756,"W",4396554,4396554,4396554,4396554,57.38,57.38,100,100,3441,41.63,100,1756,44.93,100
"51",4,3,1700,4003001700,12763,5962,"P",85830522,85316608,4,3,1701,4003001701,4274,2191,"W",2719668,2719668,2719668,2719668,3.17,3.19,100,100,4274,33.49,100,2191,36.75,100
"52",4,3,1700,4003001700,12763,5962,"P",85830522,85316608,4,3,1702,4003001702,3978,1689,"W",64218005,63721328,64218005,63721328,74.82,74.69,100,100,3978,31.17,100,1689,28.33,100
"53",4,3,1700,4003001700,12763,5962,"P",85830522,85316608,4,3,1703,4003001703,4511,2082,"P",18890599,18873362,18888242,18871005,22.01,22.12,99.99,99.99,4511,35.34,100,2082,34.92,100
"54",4,3,1700,4003001700,12763,5962,"P",85830522,85316608,4,3,2001,4003002001,4979,2155,"P",22058163,22044799,4607,4607,0.01,0.01,0.02,0.02,0,0,0,0,0,0
"55",4,3,1800,4003001800,9219,4206,"W",11289432,11266588,4,3,1800,4003001800,9219,4206,"W",11289432,11266588,11289432,11266588,100,100,100,100,9219,100,100,4206,100,100
"56",4,3,1900,4003001900,7083,2891,"W",18660641,18660641,4,3,1900,4003001900,7083,2891,"W",18660641,18660641,18660641,18660641,100,100,100,100,7083,100,100,2891,100,100
"57",4,3,2000,4003002000,9311,3947,"P",145504102,145465638,4,3,1703,4003001703,4511,2082,"P",18890599,18873362,2357,2357,0,0,0.01,0.01,0,0,0,0,0,0
"58",4,3,2000,4003002000,9311,3947,"P",145504102,145465638,4,3,2001,4003002001,4979,2155,"P",22058163,22044799,22053556,22040192,15.16,15.15,99.98,99.98,4979,53.47,100,2155,54.6,100
"59",4,3,2000,4003002000,9311,3947,"P",145504102,145465638,4,3,2002,4003002002,4332,1792,"W",123448189,123423089,123448189,123423089,84.84,84.85,100,100,4332,46.53,100,1792,45.4,100
"60",4,3,2100,4003002100,5153,2414,"W",561621839,560995644,4,3,2100,4003002100,5153,2414,"W",561621839,560995644,561621839,560995644,100,100,100,100,5153,100,100,2414,100,100
"61",4,5,100,4005000100,3804,1541,"W",8476504,8473861,4,5,100,4005000100,3804,1541,"W",8476504,8473861,8476504,8473861,100,100,100,100,3804,100,100,1541,100,100
"62",4,5,200,4005000200,3788,1839,"W",10191817,10191817,4,5,200,4005000200,3788,1839,"W",10191817,10191817,10191817,10191817,100,100,100,100,3788,100,100,1839,100,100
"63",4,5,300,4005000300,7175,2570,"W",4977595,4977595,4,5,300,4005000300,7175,2570,"W",4977595,4977595,4977595,4977595,100,100,100,100,7175,100,100,2570,100,100
"64",4,5,400,4005000400,5373,1974,"W",2739777,2739777,4,5,400,4005000400,5373,1974,"W",2739777,2739777,2739777,2739777,100,100,100,100,5373,100,100,1974,100,100
"65",4,5,500,4005000500,4396,1578,"W",10605012,10583891,4,5,500,4005000500,4396,1578,"W",10605012,10583891,10605012,10583891,100,100,100,100,4396,100,100,1578,100,100
"66",4,5,600,4005000600,5461,3394,"W",54537027,54478998,4,5,600,4005000600,5461,3394,"W",54537027,54478998,54537027,54478998,100,100,100,100,5461,100,100,3394,100,100
"67",4,5,700,4005000700,3647,1822,"W",6472609,6472609,4,5,700,4005000700,3647,1822,"W",6472609,6472609,6472609,6472609,100,100,100,100,3647,100,100,1822,100,100
"68",4,5,800,4005000800,4122,1493,"W",5960735,5957988,4,5,800,4005000800,4122,1493,"W",5960735,5957988,5960735,5957988,100,100,100,100,4122,100,100,1493,100,100
"69",4,5,900,4005000900,6905,3251,"W",40121870,40120011,4,5,900,4005000900,6905,3251,"W",40121870,40120011,40121870,40120011,100,100,100,100,6905,100,100,3251,100,100
"70",4,5,1000,4005001000,8156,564,"W",2790367,2790367,4,5,1000,4005001000,8156,564,"W",2790367,2790367,2790367,2790367,100,100,100,100,8156,100,100,564,100,100
"71",4,5,1100,4005001100,11447,5354,"P",13973622,13973622,4,5,1101,4005001101,4797,2133,"W",7717001,7717001,7717001,7717001,55.23,55.23,100,100,4797,41.91,100,2133,39.84,100
"72",4,5,1100,4005001100,11447,5354,"P",13973622,13973622,4,5,1102,4005001102,6650,3221,"W",6256621,6256621,6256621,6256621,44.77,44.77,100,100,6650,58.09,100,3221,60.16,100
"73",4,5,1200,4005001200,2864,1462,"W",13992898,13984057,4,5,1200,4005001200,2864,1462,"W",13992898,13984057,13992898,13984057,100,100,100,100,2864,100,100,1462,100,100
"74",4,5,1300,4005001300,10638,4254,"P",837588041,837390716,4,5,1301,4005001301,5102,2028,"W",53416193,53416193,53416193,53416193,6.38,6.38,100,100,5102,47.96,100,2028,47.67,100
"75",4,5,1300,4005001300,10638,4254,"P",837588041,837390716,4,5,1302,4005001302,5536,2226,"W",784171848,783974523,784171848,783974523,93.62,93.62,100,100,5536,52.04,100,2226,52.33,100
"76",4,5,1400,4005001400,5642,3763,"P",4226413193,4220838853,4,5,2200,4005002200,6457,4337,"P",4756943354,4751328031,4226202784,4220628444,100,100,88.84,88.83,5642,100,87.38,3762,99.97,86.74
