04005001600P 3283000004005001400P 47440000 0 1034AZCoconino
04005001900P 5297000004005001400P 47440000 0 95AZCoconino
04005000900P 2959000004005001500P 36400000 0 31AZCoconino
04005001400P 4752000204005001500P 36400002 8 1341AZCoconino
04005001500P 3632100004005001500P 36400998 3632 6913322AZCoconino
04005001600P 3283100004005001600 32831000 3283 119639AZCoconino
04005001700P 3080100004005001700 30801000 3080 250686AZCoconino
04005001800 553100004005001800 5531000 553 530483AZCoconino
04005001400P 4752000004005001900P 52950000 0 10715AZCoconino
04005001700P 3080000004005001900P 52950000 0 267AZCoconino
04005001900P 5297100004005001900P 52951000 5295 10166290AZCoconino
04005002000P 1874100004005002000P 18741000 1874 7230523AZCoconino
04005002100P 6809000004005002000P 18740000 0 13AZCoconino
04005002200P 8335000004005002000P 18740000 0 3AZCoconino
04005002000P 1874000004005002100P 68090000 0 17AZCoconino
04005002100P 6809100004005002100P 68091000 6809 59498AZCoconino
04005001900P 5297000004005940400 21000 2 2341555AZCoconino
04005002200P 8335001004005941100 871000 87 1998337AZCoconino
04005002300P 7349000004005941200P 9160002 2 2367AZCoconino
04005002400P 7632000204005941200P 9160014 13 242847AZCoconino
04005002500P 903099804005941200P 9160984 901 5092AZCoconino
04005002200P 8335099004005942200P 82540999 8248 5264844AZCoconino
04005002400P 7632000104005942200P 82540001 6 7928AZCoconino
04005002200P 8335000004005944500P 76390000 0 507AZCoconino
04005002300P 7349000404005944500P 76390004 28 31AZCoconino
04005002400P 7632099704005944500P 76390996 7611 7824287AZCoconino
04005002300P 7349099604005944600P 73230999 7319 17751AZCoconino
04005002400P 7632000004005944600P 73230000 2 480AZCoconino
04005002500P 903000204005944600P 73230000 2 160AZCoconino
04007980100 2983100004007000100 29831000 2983 460610AZGila
04007980200 1262100004007000200P 23940527 1262 467021AZGila
04007980400P 5275021404007000200P 23940472 1130 47592AZGila
04007980600P 1499000104007000200P 23940001 2 28478AZGila
04007980300 7429100004007000300 74291000 7429 689521AZGila
04007980400P 5275078604007000400 41451000 4145 88080AZGila
04007980500 4893100004007000500P 48931000 4893 284056AZGila
04007980600P 1499000004007000500P 48930000 0 0AZGila
04007980600P 1499099904007000600P 14971000 1497 1313478AZGila
04007980700P 1043000004007000600P 14970000 0 0AZGila
04007980600P 1499000004007000700P 10430000 0 440AZGila
04007980700P 1043100004007000700P 10431000 1043 2037972AZGila
04007980800P 1528100004007000800P 15281000 1528 648019AZGila
04007980900P 3154000004007000800P 15280000 0 144AZGila
04007980800P 1528000004007000900P 31540000 0 4AZGila
04007980900P 3154100004007000900P 31541000 3154 17426AZGila
04007981000P 5109100004007001000P 51160998 5107 920131AZGila
04007981100P 4098000204007001000P 51160002 9 2123AZGila
04007981000P 5109000004007001100P 42500000 2 1097AZGila
04007981100P 4098099504007001100P 42500959 4077 22711AZGila
04007981200P 5201003304007001100P 42500040 171 174AZGila
04007980800P 1528000004007001200P 50420000 0 4531AZGila
04007981100P 4098000304007001200P 50420002 12 13AZGila
04007981200P 5201096704007001200P 50420998 5030 174882AZGila
04007981300 1563100004007001300 15631000 1563 382421AZGila
04007986000 1514100004007940200 15141000 1514 2138624AZGila
04007985000 4784100004007940400 47841000 4784 2618745AZGila
04009991100P 3815000004009940500P 46010000 0 220AZGraham
04009995000 4601100004009940500P 46011000 4601 4376899AZGraham
04009991100P 3815100004009991100P 38840982 3815 1130614AZGraham
04009991500P 3319002104009991100P 38840018 69 349222AZGraham
04009991600P 2344000004009991100P 38840000 0 10AZGraham
04009991200P 6214100004009991200P 62480995 6214 84185AZGraham
04009991500P 3319001004009991200P 62480005 34 3098AZGraham
04009991300P 3705100004009991300 37041000 3704 3369AZGraham
04009991400 4273100004009991400 42731000 4273 5079AZGraham
04009991098P 5218010904009991500P 37830150 567 1226829AZGraham
04009991500P 3319096904009991500P 37830850 3216 565119AZGraham
04009995196 0100004009991500P 37830000 0 1087AZGraham
04009995197 0100004009991500P 37830000 0 701AZGraham
04009995198P 0034904009991500P 37830000 0 1897AZGraham
04009991100P 3815000004009991600P 23440000 0 279876AZGraham
04009991500P 3319000004009991600P 23440000 0 524AZGraham
04009991600P 2344100004009991600P 23441000 2344 3029656AZGraham
04009991098P 5218089104009991700P 46521000 4651 921765AZGraham
04009991100P 3815000004009991700P 46520000 0 6177AZGraham
04009991200P 6214000004009991700P 46520000 0 1AZGraham
04009991300P 3705000004009991700P 46520000 1 4AZGraham
04009995198P 0065104009991700P 46520000 0 3539AZGraham
04011990100 1512100004011990100P 21800694 1512 3299389AZGreenlee
04011990200P 4051016504011990100P 21800306 668 11716AZGreenlee
04011990200P 4051083504011990200 33831000 3383 325030AZGreenlee
04011990398 2984100004011990300P 29841000 2984 1142643AZGreenlee
04011990497 0100004011990300P 29840000 0 1300AZGreenlee
04011990498 0100004011990300P 29840000 0 3632AZGreenlee
04012020100P 2666100004012020100P 26661000 2666 "5087326AZLa Paz"
04012020500P 4732000004012020100P 26660000 0 "860AZLa Paz"
04012020200P 3328099504012020200 33131000 3313 "501271AZLa Paz"
04012020100P 2666000004012020500P 47300000 0 "297AZLa Paz"
04012020400P 3547000004012020500P 47300000 0 "21AZLa Paz"
04012020500P 4732100004012020500P 47301000 4730 "2731114AZLa Paz"
04012020500P 4732000004012020600P 15400001 2 "36360AZLa Paz"
04012020600 1538100004012020600P 15400999 1538 "2363779AZLa Paz"
04012020300P 3904080404012940200P 31401000 3140 "3783AZLa Paz"
04012020400P 3547000004012940200P 31400000 0 "322AZLa Paz"
04012020200P 3328000504012940300P 43260003 15 "2498AZLa Paz"
04012020300P 3904019604012940300P 43260177 764 "3538AZLa Paz"
04012020400P 3547100004012940300P 43260820 3547 "923659AZLa Paz"
04013010100 4120100004013010100 41201000 4120 2767700AZMaricopa
04013020200P 7219011404013020201 8241000 824 99843AZMaricopa
04013020200P 7219088604013020202P 64030999 6395 204722AZMaricopa
04013420206P 11813000104013020202P 64030001 8 3370AZMaricopa
04013421101P 4136000004013020202P 64030000 0 58AZMaricopa
04013421201P 2895000004013020202P 64030000 0 4AZMaricopa
04013030302 4499100004013030302 44991000 4499 2316AZMaricopa
04013030303P 8510065004013030303 55331000 5533 1264AZMaricopa
04013030304 6523100004013030304 65231000 6523 2655AZMaricopa
04013030303P 8510035004013030307 29771000 2977 1276AZMaricopa
04013030314P 10222028204013030308 28811000 2881 1278AZMaricopa
04013030309 4899100004013030309 48991000 4899 2710AZMaricopa
04013030314P 10222030204013030310 30851000 3085 343AZMaricopa
04013030311 3412100004013030311P 35170970 3412 3411AZMaricopa
04013030340P 6165001704013030311P 35170030 105 67AZMaricopa
04013030312 4668100004013030312P 51910899 4668 5683AZMaricopa
04013030313P 4749011004013030312P 51910101 523 1128AZMaricopa
04013030313P 4749059404013030313 28211000 2821 2604AZMaricopa
04013030314P 10222041604013030314 42561000 4256 960AZMaricopa
04013030315 6976100004013030315 69761000 6976 2634AZMaricopa
04013030321P 11005042004013030316 46251000 4625 1935AZMaricopa
04013030318 2774100004013030318 27741000 2774 2090AZMaricopa
04013030319 6020100004013030319 60201000 6020 2587AZMaricopa
04013030322P 7599055204013030322 41911000 4191 1327AZMaricopa
04013030323P 8211050804013030323 41691000 4169 1519AZMaricopa
04013030322P 7599044804013030324 34081000 3408 1374AZMaricopa
04013030325P 14370023804013030325P 34530991 3423 2267AZMaricopa
04013030342P 38575000104013030325P 34530009 30 23AZMaricopa
04013030326 4681100004013030326 46811000 4681 2782AZMaricopa
04013030323P 8211049204013030327 40421000 4042 1546AZMaricopa
04013030325P 14370050304013030328 72291000 7229 3313AZMaricopa
04013030329P 13101028604013030329P 37441000 3744 320541AZMaricopa
04013040509P 15693000004013030329P 37440000 0 27AZMaricopa
04013030330 4681100004013030330 46811000 4681 2590AZMaricopa
04013030331 2116100004013030331 21161000 2116 2593AZMaricopa
04013030332P 8074045604013030332 36831000 3683 1334AZMaricopa
04013030333P 27164010204013030333P 27771000 2777 26915AZMaricopa
04013103218P 6335000004013030333P 27770000 0 183AZMaricopa
04013030334 5364100004013030334 53641000 5364 2592AZMaricopa
04013030335P 8705070704013030335 61521000 6152 2586AZMaricopa
04013030336P 7127051904013030336 36981000 3698 1196AZMaricopa
04013030337 5162100004013030337 51621000 5162 3216AZMaricopa
04013030336P 7127025504013030338P 69410261 1815 863AZMaricopa
04013030338P 33093010104013030338P 69410480 3332 5108AZMaricopa
04013030342P 38575004704013030338P 69410258 1794 8282AZMaricopa
04013030339P 8742026104013030339 22851000 2285 2348AZMaricopa
04013030339P 8742000004013030340P 60600000 0 2AZMaricopa
04013030340P 6165098304013030340P 60601000 6060 2611AZMaricopa
04013030341P 5899054004013030341 31831000 3183 2590AZMaricopa
04013030325P 14370025904013030342P 87860423 3718 3541AZMaricopa
04013030342P 38575013104013030342P 87860577 5068 168473AZMaricopa
04013030343P 26843035304013030343 94661000 9466 28736AZMaricopa
04013030338P 33093015404013030344 50831000 5083 2805AZMaricopa
04013030338P 33093015904013030345P 52611000 5261 5093AZMaricopa
04013030342P 38575000004013030345P 52610000 0 37AZMaricopa
04013030338P 33093017204013030346 56951000 5695 3426AZMaricopa
04013030338P 33093010004013030347 33041000 3304 1983AZMaricopa
04013030338P 33093016004013030348 52911000 5291 2526AZMaricopa
04013030338P 33093009904013030349 32621000 3262 2490AZMaricopa
04013030338P 33093005604013030350 18651000 1865 2626AZMaricopa
04013030339P 8742036604013030351P 32031000 3203 2455AZMaricopa
04013030340P 6165000004013030351P 32030000 0 2AZMaricopa
04013030339P 8742037204013030352 32541000 3254 2742AZMaricopa
04013030332P 8074054404013030354 43911000 4391 1320AZMaricopa
04013030333P 27164021404013030355 58221000 5822 3989AZMaricopa
04013030333P 27164029904013030356 81251000 8125 3069AZMaricopa
04013030333P 27164023404013030357 63691000 6369 3379AZMaricopa
04013030333P 27164015004013030358 40711000 4071 17263AZMaricopa
04013030335P 8705029304013030359 25531000 2553 2634AZMaricopa
04013030336P 7127022604013030360 16141000 1614 2574AZMaricopa
04013030342P 38575019204013030361 73931000 7393 2596AZMaricopa
04013030343P 26843021404013030363 57481000 5748 37858AZMaricopa
04013030343P 26843008304013030364 22281000 2228 2033AZMaricopa
04013030343P 26843009004013030365 24261000 2426 2496AZMaricopa
04013030343P 26843009404013030366 25211000 2521 1336AZMaricopa
04013030343P 26843016604013030367 44521000 4452 36882AZMaricopa
04013030341P 5899046004013030368 27161000 2716 2910AZMaricopa
04013030313P 4749029604013030369 14051000 1405 2613AZMaricopa
04013030342P 38575031904013030371 123101000 12310 18945AZMaricopa
04013030342P 38575013704013030372 52731000 5273 7569AZMaricopa
04013030342P 38575007604013030373 29151000 2915 4086AZMaricopa
04013030342P 38575003904013030374 15031000 1503 4840AZMaricopa
04013030342P 38575005904013030375 22891000 2289 89366AZMaricopa
04013030329P 13101031404013030377 41101000 4110 106576AZMaricopa
04013030329P 13101040104013030378P 52471000 5247 83774AZMaricopa
04013030342P 38575000004013030378P 52470000 0 202AZMaricopa
04013030321P 11005029104013030379 31981000 3198 5792AZMaricopa
04013030321P 11005028904013030380 31821000 3182 15594AZMaricopa
04013030343P 26843000004013030400P 62820000 2 20AZMaricopa
04013030400 6031100004013030400P 62820960 6031 81987AZMaricopa
04013216817P 39270000604013030400P 62820040 250 2706AZMaricopa
04013040502P 4638099504013040502P 46560991 4616 19151AZMaricopa
04013040509P 15693000304013040502P 46560009 40 1292AZMaricopa
04013040505P 9050097904013040505P 88581000 8858 9559AZMaricopa
04013040507P 6293000004013040505P 88580000 0 0AZMaricopa
04013040506 5780100004013040506 57801000 5780 6759AZMaricopa
04013040505P 9050002104013040507P 64850030 192 154AZMaricopa
04013040507P 6293100004013040507P 64850970 6293 7331AZMaricopa
04013040508P 15301047004013040508 71841000 7184 4683AZMaricopa
04013040502P 4638000504013040509P 156750001 22 305AZMaricopa
04013040509P 15693099704013040509P 156750999 15653 3534568AZMaricopa
04013040508P 15301036304013040510 55601000 5560 11010AZMaricopa
04013040508P 15301016704013040511P 25571000 2557 11045AZMaricopa
04013040509P 15693000004013040511P 25570000 0 146AZMaricopa
04013050600P 14026049904013050601P 69931000 6993 202595AZMaricopa
04013050700P 5726000004013050601P 69930000 0 0AZMaricopa
04013040509P 15693000004013050602P 48380000 0 3624AZMaricopa
04013050600P 14026034504013050602P 48381000 4838 996574AZMaricopa
04013050600P 14026015604013050603P 21961000 2195 3436795AZMaricopa
04013723300P 8472000004013050603P 21960000 1 16852AZMaricopa
04013050600P 14026000004013050700P 57260000 0 1AZMaricopa
04013050700P 5726100004013050700P 57261000 5726 15492AZMaricopa
04013060800 6668100004013060800P 66681000 6668 4916AZMaricopa
04013060900P 6988000004013060800P 66680000 0 2346AZMaricopa
04013060900P 6988100004013060900 69881000 6988 5965AZMaricopa
04013061002 4104100004013061002 41041000 4104 10355AZMaricopa
04013061003 10395100004013061003 103951000 10395 22348AZMaricopa
04013061004P 4440097004013061004 43091000 4309 29964AZMaricopa
04013061004P 4440000804013061005P 64580005 35 272AZMaricopa
04013061005 6423100004013061005P 64580995 6423 75613AZMaricopa
04013061006P 8067100004013061006P 80671000 8067 115987AZMaricopa
04013061100P 3851000004013061006P 80670000 0 751AZMaricopa
04013061007 4392100004013061007 43921000 4392 57148AZMaricopa
04013061008 2021100004013061008 20211000 2021 14958AZMaricopa
04013061004P 4440002204013061009 961000 96 15163AZMaricopa
04013061006P 8067000004013061100P 38510000 0 3AZMaricopa
04013061100P 3851100004013061100P 38511000 3851 9472AZMaricopa
04013061200P 6019100004013061200P 60210999 6016 3907AZMaricopa
04013061300P 2013000204013061200P 60210001 5 14AZMaricopa
04013061200P 6019000004013061300P 20110001 3 3AZMaricopa
04013061300P 2013099804013061300P 20110999 2008 3761AZMaricopa
04013061400 5995100004013061400 59951000 5995 2926AZMaricopa
04013071503 4879100004013071503 48791000 4879 3713AZMaricopa
04013071504 3582100004013071504 35821000 3582 3242AZMaricopa
04013071505 5192100004013071505 51921000 5192 6273AZMaricopa
04013071506P 4261100004013071506P 42611000 4261 4218AZMaricopa
04013071508P 7405000004013071506P 42610000 0 69AZMaricopa
04013071507 5482100004013071507 54821000 5482 4951AZMaricopa
04013071506P 4261000004013071508P 74050000 0 1AZMaricopa
04013071508P 7405100004013071508P 74051000 7405 5624AZMaricopa
04013071509P 6891000004013071508P 74050000 0 56AZMaricopa
04013071509P 6891050104013071509 34551000 3455 4966AZMaricopa
04013071510P 10775042404013071510 45681000 4568 2529AZMaricopa
04013071509P 6891031904013071511 22001000 2200 2279AZMaricopa
04013071510P 10775057604013071512 62071000 6207 2631AZMaricopa
04013071509P 6891017904013071513 12361000 1236 2535AZMaricopa
04013071600 2775100004013071600 27751000 2775 2682AZMaricopa
04013071700 3752100004013071700P 37690995 3752 6010AZMaricopa
04013071802P 3587000504013071700P 37690005 17 9AZMaricopa
04013071801 5028100004013071801 50281000 5028 4844AZMaricopa
04013071802P 3587099504013071802 35701000 3570 2886AZMaricopa
04013071903 6483100004013071903 64831000 6483 2614AZMaricopa
04013071904 7275100004013071904 72751000 7275 2609AZMaricopa
04013071906P 5196100004013071906P 52040998 5195 2615AZMaricopa
04013071908P 6972000104013071906P 52040002 9 1AZMaricopa
04013071911P 2526000004013071906P 52040000 0 3AZMaricopa
04013071906P 5196000004013071908P 69640000 1 0AZMaricopa
04013071908P 6972099904013071908P 69641000 6963 3937AZMaricopa
04013071909 3824100004013071909 38241000 3824 2314AZMaricopa
04013071910 6878100004013071910 68781000 6878 2602AZMaricopa
04013071911P 2526100004013071911 25261000 2526 2631AZMaricopa
04013082002P 5260099904013082002 52561000 5256 2626AZMaricopa
04013082003P 9149044804013082007 41001000 4100 1323AZMaricopa
04013082003P 9149055204013082008 50491000 5049 1299AZMaricopa
04013082004P 8130052304013082009 42501000 4250 1258AZMaricopa
04013082004P 8130047704013082010 38801000 3880 1323AZMaricopa
04013082006P 11617068104013082011P 79570994 7913 10227AZMaricopa
04013082100P 5007000904013082011P 79570006 44 93AZMaricopa
04013082005P 12305026804013082012 33011000 3301 2978AZMaricopa
04013082005P 12305073204013082013 90041000 9004 6218AZMaricopa
04013082006P 11617031804013082014 36951000 3695 22849AZMaricopa
04013082006P 11617000104013082015 91000 9 2609AZMaricopa
04013082100P 5007099104013082100 49631000 4963 10156AZMaricopa
04013082201 4190100004013082201 41901000 4190 57695AZMaricopa
04013082202 3217100004013082202 32171000 3217 3135AZMaricopa
04013092304P 10483070604013092304 73991000 7399 2485AZMaricopa
04013092305 4185100004013092305 41851000 4185 2499AZMaricopa
04013092306 6367100004013092306 63671000 6367 2546AZMaricopa
04013092307 5517100004013092307 55171000 5517 2574AZMaricopa
04013092308 6957100004013092308 69571000 6957 2632AZMaricopa
04013092309 5391100004013092309 53911000 5391 2604AZMaricopa
04013092304P 10483029404013092310 30841000 3084 2555AZMaricopa
04013092400 7401100004013092400 74011000 7401 2621AZMaricopa
04013092500 4258100004013092500 42581000 4258 2623AZMaricopa
04013092600 3608100004013092600 36081000 3608 2511AZMaricopa
04013092703 7158100004013092703 71581000 7158 2616AZMaricopa
04013092704P 10326001204013092704 1201000 120 2611AZMaricopa
04013092705P 7666032204013092705 24711000 2471 2503AZMaricopa
04013082002P 5260000104013092706P 63350001 4 24AZMaricopa
04013082006P 11617000004013092706P 63350000 0 10AZMaricopa
04013092706P 10720059104013092706P 63350999 6331 28790AZMaricopa
04013092707 6339100004013092707 63391000 6339 5839AZMaricopa
