"","X","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"176",320,4,13,50602,4013050602,16261,6286,"P",1000342385,1000007947,4,13,50609,4013050609,4874,2114,"P",10904220,10904220,701738,701738,0.07,0.07,6.44,6.44,0,0,0,0,0,0
"179",323,4,13,50700,4013050700,10372,3966,"P",15381195,15381195,4,13,50701,4013050701,5092,1907,"P",7335055,7335055,7311504,7311504,47.54,47.54,99.68,99.68,5092,49.09,100,1907,48.08,100
"183",327,4,13,60900,4013060900,16956,5337,"P",5973914,5960142,4,13,60802,4013060802,1975,737,"P",4106344,4013059,166891,160649,2.79,2.7,4.06,4,0,0,0,0,0,0
"199",343,4,13,61005,4013061005,16184,5890,"P",75736351,75694841,4,13,50606,4013050606,6799,2495,"P",26948278,26944113,1178,1178,0,0,0,0,0,0,0,0,0,0
"202",346,4,13,61005,4013061005,16184,5890,"P",75736351,75694841,4,13,61018,4013061018,4660,3169,"P",7750561,7729744,7744200,7723383,10.23,10.2,99.92,99.92,4660,28.79,100,3169,53.8,100
"204",348,4,13,61005,4013061005,16184,5890,"P",75736351,75694841,4,13,61020,4013061020,3835,1312,"P",2440677,2440677,154348,154348,0.2,0.2,6.32,6.32,253,1.56,6.6,83,1.41,6.33
"205",349,4,13,61006,4013061006,37851,14100,"P",116430520,115867592,4,13,50605,4013050605,5828,2382,"P",661598629,661473475,120,120,0,0,0,0,0,0,0,0,0,0
"206",350,4,13,61006,4013061006,37851,14100,"P",116430520,115867592,4,13,60904,4013060904,3527,1145,"P",1429977,1429977,8975,8975,0.01,0.01,0.63,0.63,36,0.1,1.02,9,0.06,0.79
"218",362,4,13,61007,4013061007,55224,19848,"P",57339377,57213268,4,13,50605,4013050605,5828,2382,"P",661598629,661473475,1606,1606,0,0,0,0,0,0,0,0,0,0
"221",365,4,13,61007,4013061007,55224,19848,"P",57339377,57213268,4,13,61031,4013061031,3315,1243,"P",23076425,23004501,23074753,23002829,40.24,40.21,99.99,99.99,3315,6,100,1243,6.26,100
"235",379,4,13,61100,4013061100,3118,2400,"P",9731060,9730942,4,13,61011,4013061011,5705,1845,"P",15925694,15640428,27802,27802,0.29,0.29,0.17,0.18,0,0,0,0,0,0
"236",380,4,13,61100,4013061100,3118,2400,"P",9731060,9730942,4,13,61045,4013061045,4960,1783,"P",41160604,41043832,317184,317184,3.26,3.26,0.77,0.77,0,0,0,0,0,0
"237",381,4,13,61100,4013061100,3118,2400,"P",9731060,9730942,4,13,61046,4013061046,5183,2043,"P",2566639,2566639,22790,22790,0.23,0.23,0.89,0.89,0,0,0,0,0,0
