"","X","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"310",454,4,13,92305,4013092305,3667,1491,"W",2487714,2487714,4,13,92305,4013092305,3667,1491,"W",2487714,2487714,2487714,2487714,100,100,100,100,3667,100,100,1491,100,100
"311",455,4,13,92306,4013092306,5893,2293,"W",2565727,2565727,4,13,92306,4013092306,5893,2293,"W",2565727,2565727,2565727,2565727,100,100,100,100,5893,100,100,2293,100,100
"312",456,4,13,92307,4013092307,5847,2435,"W",2566248,2566248,4,13,92307,4013092307,5847,2435,"W",2566248,2566248,2566248,2566248,100,100,100,100,5847,100,100,2435,100,100
"313",457,4,13,92308,4013092308,6612,2587,"P",2572877,2572877,4,13,92308,4013092308,6612,2587,"W",2572030,2572030,2572030,2572030,99.97,99.97,100,100,6612,100,100,2587,100,100
"315",459,4,13,92309,4013092309,5212,2052,"W",2571445,2571445,4,13,92309,4013092309,5212,2052,"W",2571445,2571445,2571445,2571445,100,100,100,100,5212,100,100,2052,100,100
"320",464,4,13,92500,4013092500,4935,2054,"W",2631570,2631570,4,13,92500,4013092500,4935,2054,"P",2631640,2631640,2631570,2631570,100,100,100,100,4935,100,100,2054,100,100
"322",466,4,13,92600,4013092600,3177,1246,"P",2513861,2513861,4,13,92600,4013092600,3177,1246,"W",2513159,2513159,2513159,2513159,99.97,99.97,100,100,3177,100,100,1246,100,100
"328",472,4,13,92705,4013092705,3702,1435,"W",2592455,2592455,4,13,92705,4013092705,3702,1435,"P",2592988,2592988,2592455,2592455,100,100,99.98,99.98,3702,100,100,1435,100,100
"337",481,4,13,92708,4013092708,2056,796,"W",2736654,2736654,4,13,92708,4013092708,2056,796,"W",2736654,2736654,2736654,2736654,100,100,100,100,2056,100,100,796,100,100
"338",482,4,13,92709,4013092709,4130,1444,"W",2573531,2573531,4,13,92709,4013092709,4130,1444,"W",2573531,2573531,2573531,2573531,100,100,100,100,4130,100,100,1444,100,100
"339",483,4,13,92710,4013092710,4269,1498,"W",2579578,2579578,4,13,92710,4013092710,4269,1498,"W",2579578,2579578,2579578,2579578,100,100,100,100,4269,100,100,1498,100,100
"340",484,4,13,92711,4013092711,3120,1103,"W",2565808,2563937,4,13,92711,4013092711,3120,1103,"W",2565808,2563937,2565808,2563937,100,100,100,100,3120,100,100,1103,100,100
"341",485,4,13,92712,4013092712,4905,1510,"W",2549978,2549978,4,13,92712,4013092712,4905,1510,"W",2549978,2549978,2549978,2549978,100,100,100,100,4905,100,100,1510,100,100
"342",486,4,13,92713,4013092713,5027,1466,"W",2570363,2570363,4,13,92713,4013092713,5027,1466,"W",2570363,2570363,2570363,2570363,100,100,100,100,5027,100,100,1466,100,100
"348",492,4,13,92900,4013092900,2866,1145,"P",2636616,2636616,4,13,92900,4013092900,2866,1145,"W",2630305,2630305,2630305,2630305,99.76,99.76,100,100,2866,100,100,1145,100,100
"352",496,4,13,93101,4013093101,4547,1780,"W",1277772,1277772,4,13,93101,4013093101,4547,1780,"W",1277772,1277772,1277772,1277772,100,100,100,100,4547,100,100,1780,100,100
"355",499,4,13,93104,4013093104,4385,1830,"W",3914385,3914385,4,13,93104,4013093104,4385,1830,"P",3925974,3925974,3914385,3914385,100,100,99.7,99.7,4385,100,100,1830,100,100
"356",500,4,13,103205,4013103205,2652,1045,"W",2635513,2629708,4,13,103205,4013103205,2652,1045,"W",2635513,2629708,2635513,2629708,100,100,100,100,2652,100,100,1045,100,100
"357",501,4,13,103206,4013103206,2521,976,"W",2573797,2573797,4,13,103206,4013103206,2521,976,"W",2573797,2573797,2573797,2573797,100,100,100,100,2521,100,100,976,100,100
"358",502,4,13,103207,4013103207,2459,941,"P",2446001,2446001,4,13,103207,4013103207,2459,941,"W",2445935,2445935,2445935,2445935,100,100,100,100,2459,100,100,941,100,100
"360",504,4,13,103208,4013103208,3927,2687,"W",2777538,2777538,4,13,103208,4013103208,3927,2687,"W",2777538,2777538,2777538,2777538,100,100,100,100,3927,100,100,2687,100,100
"361",505,4,13,103209,4013103209,5353,2545,"P",6628912,6507997,4,13,103209,4013103209,5353,2545,"P",6579557,6458642,6579086,6458171,99.25,99.23,99.99,99.99,5353,100,100,2545,100,100
"364",508,4,13,103210,4013103210,6044,3496,"W",2335920,2335920,4,13,103210,4013103210,6044,3496,"W",2335920,2335920,2335920,2335920,100,100,100,100,6044,100,100,3496,100,100
"365",509,4,13,103211,4013103211,4395,1800,"W",2713638,2713638,4,13,103211,4013103211,4395,1800,"W",2713638,2713638,2713638,2713638,100,100,100,100,4395,100,100,1800,100,100
"366",510,4,13,103212,4013103212,4245,1681,"W",2606853,2606853,4,13,103212,4013103212,4245,1681,"W",2606853,2606853,2606853,2606853,100,100,100,100,4245,100,100,1681,100,100
"367",511,4,13,103214,4013103214,3852,1537,"W",2598235,2590325,4,13,103214,4013103214,3852,1537,"W",2598235,2590325,2598235,2590325,100,100,100,100,3852,100,100,1537,100,100
"368",512,4,13,103215,4013103215,2779,1009,"W",2710633,2710633,4,13,103215,4013103215,2779,1009,"W",2710633,2710633,2710633,2710633,100,100,100,100,2779,100,100,1009,100,100
"369",513,4,13,103216,4013103216,5192,2229,"W",2598627,2598627,4,13,103216,4013103216,5192,2229,"W",2598627,2598627,2598627,2598627,100,100,100,100,5192,100,100,2229,100,100
"370",514,4,13,103217,4013103217,6295,2738,"W",2589037,2589037,4,13,103217,4013103217,6295,2738,"W",2589037,2589037,2589037,2589037,100,100,100,100,6295,100,100,2738,100,100
"373",517,4,13,103302,4013103302,6246,2506,"W",2494249,2494249,4,13,103302,4013103302,6246,2506,"P",2499629,2499629,2494249,2494249,100,100,99.78,99.78,6246,100,100,2506,100,100
"374",518,4,13,103303,4013103303,3475,1730,"W",2550445,2550445,4,13,103303,4013103303,3475,1730,"W",2550445,2550445,2550445,2550445,100,100,100,100,3475,100,100,1730,100,100
"375",519,4,13,103304,4013103304,4674,1942,"W",954810,954810,4,13,103304,4013103304,4674,1942,"W",954810,954810,954810,954810,100,100,100,100,4674,100,100,1942,100,100
"376",520,4,13,103305,4013103305,3092,1182,"W",810661,810661,4,13,103305,4013103305,3092,1182,"W",810661,810661,810661,810661,100,100,100,100,3092,100,100,1182,100,100
"377",521,4,13,103306,4013103306,3619,1494,"W",767903,767903,4,13,103306,4013103306,3619,1494,"W",767903,767903,767903,767903,100,100,100,100,3619,100,100,1494,100,100
"379",523,4,13,103400,4013103400,4656,1842,"P",2728699,2723900,4,13,103400,4013103400,4656,1842,"W",2723319,2718520,2723319,2718520,99.8,99.8,100,100,4656,100,100,1842,100,100
"380",524,4,13,103501,4013103501,3107,1254,"W",2006860,2006860,4,13,103501,4013103501,3107,1254,"W",2006860,2006860,2006860,2006860,100,100,100,100,3107,100,100,1254,100,100
"381",525,4,13,103502,4013103502,5914,2619,"W",4457246,4457246,4,13,103502,4013103502,5914,2619,"W",4457246,4457246,4457246,4457246,100,100,100,100,5914,100,100,2619,100,100
"382",526,4,13,103604,4013103604,4098,1980,"W",3103653,3093964,4,13,103604,4013103604,4098,1980,"W",3103653,3093964,3103653,3093964,100,100,100,100,4098,100,100,1980,100,100
"383",527,4,13,103605,4013103605,5967,2546,"W",6140753,6133622,4,13,103605,4013103605,5967,2546,"W",6140753,6133622,6140753,6133622,100,100,100,100,5967,100,100,2546,100,100
"384",528,4,13,103606,4013103606,4089,1846,"W",2424905,2424905,4,13,103606,4013103606,4089,1846,"W",2424905,2424905,2424905,2424905,100,100,100,100,4089,100,100,1846,100,100
"385",529,4,13,103607,4013103607,4496,1868,"W",2490593,2490593,4,13,103607,4013103607,4496,1868,"W",2490593,2490593,2490593,2490593,100,100,100,100,4496,100,100,1868,100,100
"386",530,4,13,103608,4013103608,3587,1586,"W",2462940,2462940,4,13,103608,4013103608,3587,1586,"W",2462940,2462940,2462940,2462940,100,100,100,100,3587,100,100,1586,100,100
"387",531,4,13,103609,4013103609,5280,2533,"W",2495466,2493405,4,13,103609,4013103609,5280,2533,"W",2495466,2493405,2495466,2493405,100,100,100,100,5280,100,100,2533,100,100
"388",532,4,13,103611,4013103611,5121,2365,"W",5219791,5215782,4,13,103611,4013103611,5121,2365,"W",5219791,5215782,5219791,5215782,100,100,100,100,5121,100,100,2365,100,100
"389",533,4,13,103612,4013103612,4762,2463,"W",1976903,1976903,4,13,103612,4013103612,4762,2463,"W",1976903,1976903,1976903,1976903,100,100,100,100,4762,100,100,2463,100,100
"390",534,4,13,103614,4013103614,2998,1252,"W",2193319,2193319,4,13,103614,4013103614,2998,1252,"W",2193319,2193319,2193319,2193319,100,100,100,100,2998,100,100,1252,100,100
"391",535,4,13,103615,4013103615,4748,1938,"W",7070097,7070097,4,13,103615,4013103615,4748,1938,"W",7070097,7070097,7070097,7070097,100,100,100,100,4748,100,100,1938,100,100
"394",538,4,13,103900,4013103900,5827,2418,"W",2522508,2522034,4,13,103900,4013103900,5827,2418,"W",2522508,2522034,2522508,2522034,100,100,100,100,5827,100,100,2418,100,100
"395",539,4,13,104000,4013104000,6725,2831,"W",2563950,2563950,4,13,104000,4013104000,6725,2831,"W",2563950,2563950,2563950,2563950,100,100,100,100,6725,100,100,2831,100,100
"396",540,4,13,104100,4013104100,6567,2625,"W",2564317,2564317,4,13,104100,4013104100,6567,2625,"W",2564317,2564317,2564317,2564317,100,100,100,100,6567,100,100,2625,100,100
"397",541,4,13,104202,4013104202,5131,1882,"W",2578358,2578358,4,13,104202,4013104202,5131,1882,"W",2578358,2578358,2578358,2578358,100,100,100,100,5131,100,100,1882,100,100
"398",542,4,13,104203,4013104203,6211,2379,"W",2582687,2582499,4,13,104203,4013104203,6211,2379,"W",2582687,2582499,2582687,2582499,100,100,100,100,6211,100,100,2379,100,100
"399",543,4,13,104204,4013104204,3230,1126,"W",1472895,1441134,4,13,104204,4013104204,3230,1126,"W",1472895,1441134,1472895,1441134,100,100,100,100,3230,100,100,1126,100,100
"400",544,4,13,104205,4013104205,5156,2603,"P",3495511,3376808,4,13,104205,4013104205,5156,2603,"P",3496002,3377381,3495396,3376775,100,100,99.98,99.98,5156,100,100,2603,100,100
"402",546,4,13,104206,4013104206,3813,1474,"W",1635106,1624330,4,13,104206,4013104206,3813,1474,"P",1636068,1625210,1635106,1624330,100,100,99.94,99.95,3813,100,100,1474,100,100
"403",547,4,13,104207,4013104207,4240,1925,"W",2649677,2649677,4,13,104207,4013104207,4240,1925,"W",2649677,2649677,2649677,2649677,100,100,100,100,4240,100,100,1925,100,100
"404",548,4,13,104212,4013104212,6174,2321,"W",2581210,2581210,4,13,104212,4013104212,6174,2321,"W",2581210,2581210,2581210,2581210,100,100,100,100,6174,100,100,2321,100,100
"405",549,4,13,104214,4013104214,2312,768,"W",2445657,2445657,4,13,104214,4013104214,2312,768,"W",2445657,2445657,2445657,2445657,100,100,100,100,2312,100,100,768,100,100
"406",550,4,13,104215,4013104215,4026,1727,"W",2310146,2310146,4,13,104215,4013104215,4026,1727,"W",2310146,2310146,2310146,2310146,100,100,100,100,4026,100,100,1727,100,100
"407",551,4,13,104216,4013104216,4771,2040,"W",2492469,2459580,4,13,104216,4013104216,4771,2040,"W",2492469,2459580,2492469,2459580,100,100,100,100,4771,100,100,2040,100,100
"408",552,4,13,104217,4013104217,4882,2059,"W",2576866,2576866,4,13,104217,4013104217,4882,2059,"W",2576866,2576866,2576866,2576866,100,100,100,100,4882,100,100,2059,100,100
"409",553,4,13,104218,4013104218,3941,1640,"W",2565553,2565553,4,13,104218,4013104218,3941,1640,"W",2565553,2565553,2565553,2565553,100,100,100,100,3941,100,100,1640,100,100
"410",554,4,13,104219,4013104219,2982,1026,"W",2558520,2558520,4,13,104219,4013104219,2982,1026,"W",2558520,2558520,2558520,2558520,100,100,100,100,2982,100,100,1026,100,100
"411",555,4,13,104221,4013104221,5864,2145,"W",2571541,2569318,4,13,104221,4013104221,5864,2145,"W",2571541,2569318,2571541,2569318,100,100,100,100,5864,100,100,2145,100,100
"412",556,4,13,104222,4013104222,5915,2268,"W",2491304,2491304,4,13,104222,4013104222,5915,2268,"W",2491304,2491304,2491304,2491304,100,100,100,100,5915,100,100,2268,100,100
"413",557,4,13,104223,4013104223,1857,644,"W",2480393,2476173,4,13,104223,4013104223,1857,644,"W",2480393,2476173,2480393,2476173,100,100,100,100,1857,100,100,644,100,100
"414",558,4,13,104224,4013104224,5898,2553,"W",2570603,2545408,4,13,104224,4013104224,5898,2553,"W",2570603,2545408,2570603,2545408,100,100,100,100,5898,100,100,2553,100,100
"415",559,4,13,104225,4013104225,3699,1398,"W",2493198,2476321,4,13,104225,4013104225,3699,1398,"W",2493198,2476321,2493198,2476321,100,100,100,100,3699,100,100,1398,100,100
"416",560,4,13,104226,4013104226,4373,1914,"W",2558855,2558855,4,13,104226,4013104226,4373,1914,"W",2558855,2558855,2558855,2558855,100,100,100,100,4373,100,100,1914,100,100
"417",561,4,13,104227,4013104227,2059,842,"W",1094989,1082524,4,13,104227,4013104227,2059,842,"W",1094989,1082524,1094989,1082524,100,100,100,100,2059,100,100,842,100,100
"422",566,4,13,104501,4013104501,3697,1560,"W",1250972,1227268,4,13,104501,4013104501,3697,1560,"W",1250972,1227268,1250972,1227268,100,100,100,100,3697,100,100,1560,100,100
"423",567,4,13,104502,4013104502,5107,1721,"W",1341772,1341772,4,13,104502,4013104502,5107,1721,"W",1341772,1341772,1341772,1341772,100,100,100,100,5107,100,100,1721,100,100
"424",568,4,13,104600,4013104600,4253,1970,"W",2621628,2618240,4,13,104600,4013104600,4253,1970,"W",2621628,2618240,2621628,2618240,100,100,100,100,4253,100,100,1970,100,100
"428",572,4,13,104801,4013104801,3619,1645,"W",5873836,5873836,4,13,104801,4013104801,3619,1645,"W",5873836,5873836,5873836,5873836,100,100,100,100,3619,100,100,1645,100,100
"429",573,4,13,104802,4013104802,5688,2776,"W",3335043,3335043,4,13,104802,4013104802,5688,2776,"W",3335043,3335043,3335043,3335043,100,100,100,100,5688,100,100,2776,100,100
"430",574,4,13,104900,4013104900,4003,1672,"W",2584774,2584774,4,13,104900,4013104900,4003,1672,"W",2584774,2584774,2584774,2584774,100,100,100,100,4003,100,100,1672,100,100
"433",577,4,13,105002,4013105002,2572,1289,"W",7771659,7769190,4,13,105002,4013105002,2574,1290,"P",7934904,7932435,7771659,7769190,100,100,97.94,97.94,2572,100,99.92,1289,100,99.92
"434",578,4,13,105101,4013105101,4417,1795,"W",6040065,6038274,4,13,105101,4013105101,4417,1795,"W",6040065,6038274,6040065,6038274,100,100,100,100,4417,100,100,1795,100,100
"435",579,4,13,105102,4013105102,4165,2562,"P",19342656,19335702,4,13,105102,4013105102,4165,2562,"W",19168858,19161904,19168858,19161904,99.1,99.1,100,100,4165,100,100,2562,100,100
"437",581,4,13,105103,4013105103,3017,1386,"W",9678040,9667991,4,13,105103,4013105103,3017,1386,"P",9851838,9841789,9678040,9667991,100,100,98.24,98.23,3017,100,100,1386,100,100
"438",582,4,13,105200,4013105200,5819,3019,"W",4058521,4048321,4,13,105200,4013105200,5819,3019,"P",4058551,4048351,4058521,4048321,100,100,100,100,5819,100,100,3019,100,100
"439",583,4,13,105300,4013105300,4995,2518,"W",2654235,2628248,4,13,105300,4013105300,4995,2518,"W",2654235,2628248,2654235,2628248,100,100,100,100,4995,100,100,2518,100,100
"440",584,4,13,105400,4013105400,3603,1536,"W",2568631,2568631,4,13,105400,4013105400,3603,1536,"W",2568631,2568631,2568631,2568631,100,100,100,100,3603,100,100,1536,100,100
"445",589,4,13,105601,4013105601,3791,1229,"P",1284365,1284365,4,13,105601,4013105601,3791,1229,"W",1283759,1283759,1283759,1283759,99.95,99.95,100,100,3791,100,100,1229,100,100
"446",590,4,13,105602,4013105602,5943,2510,"W",1290265,1290265,4,13,105602,4013105602,5943,2510,"W",1290265,1290265,1290265,1290265,100,100,100,100,5943,100,100,2510,100,100
"447",591,4,13,105701,4013105701,3426,1227,"W",1288736,1288736,4,13,105701,4013105701,3426,1227,"W",1288736,1288736,1288736,1288736,100,100,100,100,3426,100,100,1227,100,100
"448",592,4,13,105702,4013105702,3775,1448,"W",1290174,1290174,4,13,105702,4013105702,3775,1448,"W",1290174,1290174,1290174,1290174,100,100,100,100,3775,100,100,1448,100,100
"449",593,4,13,105800,4013105800,6298,2166,"W",2585542,2585542,4,13,105800,4013105800,6298,2166,"W",2585542,2585542,2585542,2585542,100,100,100,100,6298,100,100,2166,100,100
"450",594,4,13,105900,4013105900,4956,2253,"W",2602570,2602570,4,13,105900,4013105900,4956,2253,"W",2602570,2602570,2602570,2602570,100,100,100,100,4956,100,100,2253,100,100
"454",598,4,13,106100,4013106100,5282,2856,"W",2554725,2554725,4,13,106100,4013106100,5282,2856,"W",2554725,2554725,2554725,2554725,100,100,100,100,5282,100,100,2856,100,100
"455",599,4,13,106200,4013106200,3285,1341,"W",2593993,2593993,4,13,106200,4013106200,3285,1341,"W",2593993,2593993,2593993,2593993,100,100,100,100,3285,100,100,1341,100,100
"456",600,4,13,106300,4013106300,5093,2752,"W",2664629,2633102,4,13,106300,4013106300,5093,2752,"W",2664629,2633102,2664629,2633102,100,100,100,100,5093,100,100,2752,100,100
"457",601,4,13,106400,4013106400,2732,1493,"W",2589657,2493549,4,13,106400,4013106400,2732,1493,"W",2589657,2493549,2589657,2493549,100,100,100,100,2732,100,100,1493,100,100
"460",604,4,13,106600,4013106600,3607,1769,"W",2603134,2603134,4,13,106600,4013106600,3607,1769,"W",2603134,2603134,2603134,2603134,100,100,100,100,3607,100,100,1769,100,100
"466",610,4,13,106900,4013106900,7077,2297,"W",2604857,2604857,4,13,106900,4013106900,7077,2297,"W",2604857,2604857,2604857,2604857,100,100,100,100,7077,100,100,2297,100,100
"467",611,4,13,107000,4013107000,7123,2732,"W",2573341,2573341,4,13,107000,4013107000,7123,2732,"W",2573341,2573341,2573341,2573341,100,100,100,100,7123,100,100,2732,100,100
"468",612,4,13,107101,4013107101,4262,1241,"W",1242405,1242405,4,13,107101,4013107101,4262,1241,"W",1242405,1242405,1242405,1242405,100,100,100,100,4262,100,100,1241,100,100
"469",613,4,13,107102,4013107102,5197,1830,"W",1341819,1341819,4,13,107102,4013107102,5197,1830,"W",1341819,1341819,1341819,1341819,100,100,100,100,5197,100,100,1830,100,100
"470",614,4,13,107201,4013107201,4301,1548,"W",1298215,1298215,4,13,107201,4013107201,4301,1548,"W",1298215,1298215,1298215,1298215,100,100,100,100,4301,100,100,1548,100,100
"471",615,4,13,107202,4013107202,4928,1400,"W",1292931,1292931,4,13,107202,4013107202,4928,1400,"W",1292931,1292931,1292931,1292931,100,100,100,100,4928,100,100,1400,100,100
"472",616,4,13,107300,4013107300,6202,2354,"W",2575241,2575241,4,13,107300,4013107300,6202,2354,"W",2575241,2575241,2575241,2575241,100,100,100,100,6202,100,100,2354,100,100
"473",617,4,13,107400,4013107400,6572,3235,"W",2585603,2585603,4,13,107400,4013107400,6572,3235,"W",2585603,2585603,2585603,2585603,100,100,100,100,6572,100,100,3235,100,100
"474",618,4,13,107500,4013107500,3337,1848,"W",2609412,2609412,4,13,107500,4013107500,3337,1848,"W",2609412,2609412,2609412,2609412,100,100,100,100,3337,100,100,1848,100,100
"477",621,4,13,107700,4013107700,3797,2225,"W",2619941,2619941,4,13,107700,4013107700,3797,2225,"W",2619941,2619941,2619941,2619941,100,100,100,100,3797,100,100,2225,100,100
"478",622,4,13,107800,4013107800,2408,1950,"W",3613317,3533588,4,13,107800,4013107800,2408,1950,"W",3613317,3533588,3613317,3533588,100,100,100,100,2408,100,100,1950,100,100
"480",624,4,13,107900,4013107900,3703,1993,"P",8101249,8096730,4,13,107900,4013107900,3701,1992,"W",7946743,7942224,7946743,7942224,98.09,98.09,100,100,3701,99.95,100,1992,99.95,100
"481",625,4,13,108000,4013108000,3467,1219,"P",3818518,3796539,4,13,108000,4013108000,3467,1219,"W",3798010,3781355,3798010,3781355,99.46,99.6,100,100,3467,100,100,1219,100,100
"483",627,4,13,108100,4013108100,1850,902,"W",1468282,1452097,4,13,108100,4013108100,1850,902,"W",1468282,1452097,1468282,1452097,100,100,100,100,1850,100,100,902,100,100
"484",628,4,13,108200,4013108200,3158,1641,"W",1573219,1557151,4,13,108200,4013108200,3158,1641,"W",1573219,1557151,1573219,1557151,100,100,100,100,3158,100,100,1641,100,100
"487",631,4,13,108400,4013108400,4888,3136,"W",2597617,2597617,4,13,108400,4013108400,4888,3136,"W",2597617,2597617,2597617,2597617,100,100,100,100,4888,100,100,3136,100,100
"490",634,4,13,108601,4013108601,2679,1403,"W",826571,817426,4,13,108601,4013108601,2679,1403,"W",826571,817426,826571,817426,100,100,100,100,2679,100,100,1403,100,100
"491",635,4,13,108602,4013108602,4530,2679,"W",1780187,1770561,4,13,108602,4013108602,4530,2679,"W",1780187,1770561,1780187,1770561,100,100,100,100,4530,100,100,2679,100,100
"494",638,4,13,108802,4013108802,1819,1138,"W",1037366,1027484,4,13,108802,4013108802,1819,1138,"W",1037366,1027484,1037366,1027484,100,100,100,100,1819,100,100,1138,100,100
"495",639,4,13,108901,4013108901,2508,1373,"W",1047405,1036955,4,13,108901,4013108901,2508,1373,"W",1047405,1036955,1047405,1036955,100,100,100,100,2508,100,100,1373,100,100
