"","X","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"2",146,4,13,10100,4013010100,9716,6391,"P",2794980077,2762741625,4,13,10102,4013010102,4640,3253,"W",2740265531,2708433980,2740265531,2708433980,98.04,98.03,100,100,4640,47.76,100,3253,50.9,100
"3",147,4,13,10100,4013010100,9716,6391,"P",2794980077,2762741625,4,13,941300,4013941300,6293,2609,"P",218380934,211256593,398386,21811,0.01,0,0.18,0.01,3,0.03,0.05,1,0.02,0.04
"6",150,4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,216821,4013216821,5737,3283,"P",15650395,15649417,145885,145885,0.07,0.07,0.93,0.93,0,0,0,0,0,0
"7",151,4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,216833,4013216833,4498,2284,"P",3234758,3234758,12252,12252,0.01,0.01,0.38,0.38,0,0,0,0,0,0
"8",152,4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,218300,4013218300,3953,2820,"P",2244217,2238683,50044,50044,0.02,0.02,2.23,2.24,0,0,0,0,0,0
"9",153,4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,318400,4013318400,4650,2396,"P",8626008,8388218,59238,59238,0.03,0.03,0.69,0.71,0,0,0,0,0,0
"10",154,4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,421201,4013421201,4806,2670,"P",5455731,4566480,6509,1933,0,0,0.12,0.04,0,0,0,0,0,0
"11",155,4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,941300,4013941300,6293,2609,"P",218380934,211256593,217676841,210932537,99.87,99.87,99.68,99.85,6290,100,99.95,2608,100,99.96
"22",166,4,13,30313,4013030313,2679,1841,"P",2627817,2612458,4,13,615500,4013615500,2817,2252,"P",2617223,2613679,447,447,0.02,0.02,0.02,0.02,0,0,0,0,0,0
"25",169,4,13,30315,4013030315,8241,4317,"P",2605256,2605256,4,13,619400,4013619400,4269,2205,"W",1295291,1295291,1295291,1295291,49.72,49.72,100,100,4269,51.8,100,2205,51.08,100
"28",172,4,13,30318,4013030318,3438,1701,"P",2036772,2036772,4,13,616500,4013616500,3438,1701,"W",2012363,2012363,2012363,2012363,98.8,98.8,100,100,3438,100,100,1701,100,100
"38",182,4,13,30329,4013030329,7044,2568,"P",325110759,321217842,4,13,610800,4013610800,3505,1306,"P",52233803,52148007,204047,204047,0.06,0.06,0.39,0.39,0,0,0,0,0,0
