name,label,concept
P006001,Total population,P6. Race [8]
P006002,Total: White alone,P6. Race [8]
P006003,Total: Black or African American alone,P6. Race [8]
P006004,Total: American Indian and Alaska Native alone,P6. Race [8]
P006005,Total: Asian alone,P6. Race [8]
P006006,Total: Native Hawaiian and Other Pacific Islander alone,P6. Race [8]
P006007,Total: Some other race alone,P6. Race [8]
P006008,Total: Two or more races,P6. Race [8]
